Середньомісячна швидкість вітру в обласних центрах України (м/с)													
Регіон	1	2	3	4	5	6	7	8	9	10	11	12	Річний
Сімферополь	4.1	4.2	4.3	3.8	3.3	3.2	3.2	3.3	3.5	4	4.2	4.5	3.8
Вінниця	3.7	3.9	3.7	3.6	3	2.7	2.8	2.6	2.8	3.2	3.7	3.7	3.3
Луцьк	4.1	4.2	4.2	3.9	3.2	3	2.8	2.6	3	3.54	4.3	4	3.6
Дніпро	5.4	5.7	5.2	5	4.4	3.8	3.7	3.8	4.1	4.6	4.9	5.2	4.7
Донецьк	5.7	6.4	5.6	5.2	4.4	3.6	3.5	3.7	4	4.6	5.2	5.4	4.8
Житомир	4.7	4.8	4.7	4.3	3.7	3.4	3.3	3.2	3.6	4	4.8	4.7	4.1
Ужгород	4	4.2	4.1	4	3.6	3.4	3.3	3.1	3.1	3.4	3.8	3.7	3.6
Запоріжжя	3.1	3.6	3.1	2.9	2.5	2.1	2	2	2.3	2.5	3	3	2.7
Івано-Франківськ	2.9	3.2	3.4	3.2	2.8	2.8	2.7	2.4	2.4	2.6	3.1	2.9	2.9
Київ	2.8	2.8	2.6	2.6	2.2	2.2	2.1	2	2.1	2.3	2.6	2.7	2.4
Кропивницький	4.5	4.8	4.6	4.4	3.9	3.5	3.4	3.5	3.6	3.8	4.2	4.4	4.1
Луганськ	3.3	3.8	3.5	3.2	2.8	2.1	2	2.1	2.3	2.7	3.1	3.1	2.8
Львів	4.1	4.1	4.1	3.8	3.2	3	2.9	2.7	3	3.4	4.1	4	3.6
Миколаїв	4.1	4.2	4.1	3.9	3.6	3.3	3.1	3.1	3.1	3.2	3.8	3.9	3.6
Одеса	4.6	4.6	4.3	3.8	3.4	3.2	3.2	3.3	3.4	3.9	4.3	4.3	3.9
Полтава	4.6	5	4.5	4.2	3.7	3.2	3.1	3	3.2	3.7	4.3	4.4	3.9
Рівне	4.8	4.7	4.6	4.3	3.7	3.4	3.3	3.1	3.7	4.2	5.1	4.9	4.2
Суми	4.4	4.6	4.3	4.1	3.5	3.3	3.1	3.1	3.3	3.9	4.4	4.5	3.9
Тернопіль	4	4.1	4	3.6	3	2.8	2.7	2.5	2.9	3.3	4.1	4	3.4
Харків	4.5	4.8	4.6	4.4	3.8	3.4	3.3	3.2	3.4	3.8	4.2	4.4	4
Херсон	4.3	4.5	4.3	3.9	3.4	3.1	3.1	3	2.9	3.2	3.8	4	3.6
Хмельницький	4.1	4.2	4.1	3.8	3.1	3	2.8	2.6	2.9	3.4	4.2	4.1	3.5
Черкаси	4.5	4.6	4.4	4.3	3.8	3.2	3.1	3.2	3.3	3.6	4.1	4.3	3.9
Чернігів	4.3	4.4	4.1	4.1	3.4	3.2	3.2	3.1	3.4	3.9	4.4	4.6	3.8
Чернівці	4	4.2	4.1	4	3.6	3.4	3.3	3.1	3.1	3.4	3.8	3.7	3.6
